Código de censo,Fecha,Censador,Acompañante 1,Acompañante 2,Piloto,Avioneta,Matrícula,Aeropuerto,Hora inicio,Hora fin,¿Track GPS?,Track,Foto,Visibilidad,Intensidad del viento,Dirección del viento,Condición atmosférica,Temperatura,¿Censo válido?,Observaciones
CA_20051027,2005-10-27,Censador 5,A**,H****,H*** *********,Cessna 172,,-,10:40:00,12:30:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20051124,2005-11-24,Censador 5,R* *********,-,H*** *********,Cessna 172,,-,10:30:00,12:05:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20051219,2005-12-19,Censador 5,M*******,A**,H*** *********,Cessna 172,,-,10:30:00,12:30:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060118,2006-01-18,Censador 5,R*** ****,J*** **** ******,H*** *********,Cessna 172,,-,11:00:00,14:00:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060213,2006-02-13,Censador 5,J* ** *****,M****,H*** *********,Cessna 172,,-,10:00:00,12:30:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060322,2006-03-22,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,,-,09:50:00,12:15:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060411,2006-04-11,Censador 5,E******* ********,A****** *****,B****,Cessna 172,,-,10:15:00,12:35:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060518,2006-05-18,Censador 5,R**** ******,D*****,H*** *********,Cessna 172,,-,10:50:00,13:50:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060627,2006-06-27,Censador 5,F* ******,M* ******,H*** *********,Cessna 172,,-,10:00:00,12:00:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060727,2006-07-27,Censador 5,J*** **** ******,R* *******,H*** *********,Cessna 172,,-,09:30:00,11:30:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060816,2006-08-16,Censador 5,M* *****,O* ****,H*** *********,Cessna 172,,-,10:00:00,12:00:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20060912,2006-09-12,Censador 5,F******** ****** *******,-,H*** *********,Cessna 172,,-,09:30:00,11:50:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20061030,2006-10-30,Censador 5,J*** **** ******,A******** ******,H*** *********,Cessna 172,,-,10:40:00,13:00:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20061116,2006-11-16,Censador 5,J* ***** *****,S***** ******,H*** *********,Cessna 172,,-,11:00:00,13:30:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20061221,2006-12-21,Censador 5,J*** **** ******,-,B****,Cessna 172,,-,11:00:00,13:40:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20070111,2007-01-11,Censador 5,C**** *******,P**** ********,H*** *********,Cessna 172,,-,10:40:00,13:10:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20070219,2007-02-19,Censador 5,J*** **** ******,J*** ****** *****,H*** *********,Cessna 172,,-,11:00:00,13:30:00,,censos_aereos/tracks/CA_20070219.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20070312,2007-03-12,Censador 5,O****,-,H*** *********,Cessna 172,,-,10:30:00,12:55:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20070424,2007-04-24,Censador 5,J* ** *******,J* ** ***** ** *****,F******* *********,Cessna 172,,-,09:30:00,11:45:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20070521,2007-05-21,Censador 5,Y****** ****,J* ** ******,H*** *********,Cessna 172,-,-,09:30:00,11:45:00,,censos_aereos/tracks/CA_20070521.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20070612,2007-06-12,Censador 5,F* *******,B****,H*** *********,Cessna 172,,-,09:30:00,11:20:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20070720,2007-07-20,Censador 5,D**** *****,-,H*** *********,Cessna 172,,-,09:30:00,11:45:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
